SodX.xml,ShockDensity.xml,ScalarAdvection.xml,Woodward.xml,
1.505000000000000E+00,8.989333333333330E-01,1.423500000000000E+02,1.234166666666670E+00,ALPACA_1_32_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.443166666666670E+00,8.348166666666670E-01,1.526000000000000E+02,1.221500000000000E+00,ALPACA_1_32_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
1.346000000000000E+00,8.014000000000000E-01,1.293333333333330E+02,1.114833333333330E+00,ALPACA_1_32_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.386833333333330E+00,8.624500000000000E-01,1.405166666666670E+02,1.145666666666670E+00,ALPACA_1_32_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
1.677166666666670E+00,9.012666666666670E-01,1.771833333333330E+02,1.371333333333330E+00,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.692833333333330E+00,9.440200000000000E-01,1.921166666666670E+02,1.361666666666670E+00,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
1.531333333333330E+00,8.452833333333330E-01,1.563666666666670E+02,1.186500000000000E+00,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.615833333333330E+00,8.788666666666670E-01,1.718166666666670E+02,1.263833333333330E+00,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
7.789333333333330E-01,5.179333333333330E-01,2.999000000000000E+01,6.136833333333330E-01,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
7.362800000000000E-01,5.100166666666670E-01,3.151666666666670E+01,5.868000000000000E-01,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
7.030000000000000E-01,5.112833333333330E-01,2.695500000000000E+01,5.417666666666670E-01,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
6.840833333333330E-01,5.116666666666670E-01,2.815333333333330E+01,5.690500000000000E-01,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
8.158333333333330E-01,5.499500000000000E-01,3.637666666666670E+01,6.137000000000000E-01,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
8.114166666666670E-01,5.713166666666670E-01,3.774500000000000E+01,6.208166666666670E-01,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
7.696166666666670E-01,5.233666666666670E-01,3.129833333333330E+01,5.981833333333330E-01,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
7.859000000000000E-01,4.960800000000000E-01,3.270500000000000E+01,5.842666666666670E-01,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
